,processor_number,brand,nGeneration,Quarter Launch,Year launch,Lithography,nbr_cores,nbr_P-cores,nbr_E-cores,nbr_threads,max_turbo_frequency,performance-core_base_freq,efficient-core_base_freq,processor_base_freq,cache,processor_base_power,max_memory_size,memory_types,max_PCI,supported_socket,processor_graphics,graphics_max_dynamic_frequency,optane_memory_supported,turbo_boost_max_technology2,turbo_boost_max_technology3,vPro_platform_eligibity,max_resolution_hdmi,freq_hdmi(en Hz),max_resolution_dp,freq_dp(en Hz),max_resolution_edp,freq_edp,X-series,nGeneration2,series2,series
0,i9-13900KS,i9,13th,,,,24,8.0,16.0,32,6.0,3.2,2.4,,36.0,150,128,"Up to DDR5 5600
Up to DDR4 3200",20,LGA1700,UHD 770,1.65,No,Yes,Yes,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,"['K', 'S']",KS
1,i9-13900F,i9,13th,,,,24,8.0,16.0,32,5.6,2.0,1.5,,36.0,65,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,,No,Yes,Yes,No,,,,,,,No,13.0,['F'],F
2,i9-13900,i9,13th,,,,24,8.0,16.0,32,5.6,2.0,1.5,,36.0,65,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.65,No,Yes,Yes,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,[],O
3,i9-13900T,i9,13th,,,,24,8.0,16.0,32,5.3,1.1,0.8,,36.0,35,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.65,No,Yes,Yes,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,['T'],T
4,i7-13700F,i7,13th,,,,16,8.0,8.0,24,5.2,2.1,1.5,,30.0,65,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,,No,Yes,Yes,No,,,,,,,No,13.0,['F'],F
5,i7-13700,i7,13th,,,,16,8.0,8.0,24,5.2,2.1,1.5,,30.0,65,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.6,No,Yes,Yes,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,[],O
6,i7-13700T,i7,13th,,,,16,8.0,8.0,24,4.9,1.4,1.0,,30.0,35,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.6,No,Yes,Yes,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,['T'],T
7,i5-13600,i5,13th,,,,14,6.0,8.0,20,5.0,2.7,2.0,,24.0,65,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 770,1.55,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,[],O
8,i5-13600T,i5,13th,,,,14,6.0,8.0,20,4.8,1.8,1.3,,24.0,35,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 770,1.55,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,['T'],T
9,i5-13500,i5,13th,,,,14,6.0,8.0,20,4.8,2.5,1.8,,24.0,65,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 770,1.55,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,[],O
10,i5-13500T,i5,13th,,,,14,6.0,8.0,20,4.6,1.6,1.2,,24.0,35,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 770,1.55,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,['T'],T
11,i5-13400F,i5,13th,,,,10,6.0,4.0,16,4.6,2.5,1.8,,20.0,65,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,No,,No,Yes,No,No,,,,,,,No,13.0,['F'],F
12,i5-13400,i5,13th,,,,10,6.0,4.0,16,4.6,2.5,1.8,,20.0,65,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 730,1.55,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,[],O
13,i5-13400T ,i5,13th,,,,10,6.0,4.0,16,4.4,1.3,1.0,,20.0,35,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 730,1.55,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,['T'],T
14,i9-13900K,i9,13th,Q4,2021.0,Intel 7,24,8.0,16.0,32,5.8,3.0,2.2,,36.0,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.65,No,Yes,Yes,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,['K'],K
15,i9-13900KF,i9,13th,Q4,2021.0,Intel 7,24,8.0,16.0,32,5.8,3.0,2.2,,36.0,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,,No,Yes,Yes,No,,,,,,,No,13.0,"['K', 'F']",KF
16,i7-13700K,i7,13th,Q4,2021.0,Intel 7,16,8.0,8.0,24,5.4,3.4,2.5,,30.0,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.6,No,Yes,Yes,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,['K'],K
17,i7-13700KF ,i7,13th,Q4,2021.0,Intel 7,16,8.0,8.0,24,5.4,3.4,2.5,,30.0,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,,No,Yes,Yes,No,,,,,,,No,13.0,"['K', 'F']",KF
18,i5-13600K ,i5,13th,Q4,2021.0,Intel 7,14,6.0,8.0,20,5.1,3.5,2.6,,24.0,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,UHD 770,1.5,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,['K'],K
19, i5-13600KF ,i5,13th,Q4,2021.0,Intel 7,14,6.0,8.0,20,5.1,3.5,2.6,,24.0,125,128,"Up to DDR5 5600, 
Up to DDR4 3200",20,LGA1700,No,,No,Yes,No,No,,,,,,,No,13.0,"['K', 'F']",KF
20,i3-13100,i3,13th,,,,4,4.0,0.0,8,4.5,3.4,,,12.0,60,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 730,1.5,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,[],O
21,i3-13100F,i3,13th,,,,4,4.0,0.0,8,4.5,3.4,,,12.0,58,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,No,,No,Yes,No,No,,,,,,,No,13.0,['F'],F
22,i3-13100T,i3,13th,,,,4,4.0,0.0,8,4.2,2.5,,,12.0,35,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 730,1.5,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,['T'],T
23,i9-12900KS,i9,12th,Q1,2022.0,Intel 7,16,8.0,8.0,24,5.5,3.4,2.5,,30.0,150,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,"['K', 'S']",KS
24,i9-12900K,i9,12th,Q4,2021.0,Intel 7,16,8.0,8.0,24,5.2,3.2,2.4,,30.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['K'],K
25,i9-12900KF,i9,12th,Q4,2021.0,Intel 7,16,8.0,8.0,24,5.2,3.2,2.4,,30.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,Yes,No,,,,,,,No,12.0,"['K', 'F']",KF
26,i9-12900F,i9,12th,Q1,2022.0,Intel 7,16,8.0,8.0,24,5.1,2.4,1.8,,30.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,Yes,No,,,,,,,No,12.0,['F'],F
27,i9-12900,i9,12th,Q1,2022.0,Intel 7,16,8.0,8.0,24,5.1,2.4,1.8,,30.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
28,i7-12700,i7,12th,Q1,2022.0,Intel 7,12,8.0,4.0,20,4.9,2.1,1.6,,25.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.5,Yes,Yes,yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
29,i7-12700F,i7,12th,Q1,2022.0,Intel 7,12,8.0,4.0,20,4.9,2.1,1.6,,25.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,Yes,No,,,,,,,No,12.0,['F'],F
30,i9-12900T,i9,12th,Q4,2021.0,Intel 7,16,8.0,8.0,24,4.9,1.4,1.0,,30.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
31,i7-12700K,i7,12th,Q1,2022.0,Intel 7,12,8.0,4.0,20,5.0,3.6,2.7,,25.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.5,Yes,Yes,yes,yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 ," 120
",No,12.0,['K'],K
32,i7-12700KF,i7,12th,Q1,2022.0,Intel 7,12,8.0,4.0,20,5.0,3.6,2.7,,25.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,Yes,No,,,,,,,No,12.0,"['K', 'F']",KF
33,i5-12600,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.8,3.3,,,18.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
34,i5-12400,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.4,2.5,,,18.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
35,i5-12400F,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.4,2.5,,,18.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,No,No,,,,,,,No,12.0,['F'],F
36,i7-12700T,i7,12th,Q1,2022.0,Intel 7,12,8.0,4.0,20,4.7,1.4,1.0,,25.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.5,Yes,Yes,yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
37,i5-12400T,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.2,1.8,,,18.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
38,i5-12500,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.6,3.0,,,18.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
39,i5-12500T,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.4,2.0,,,18.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
40,i5-12600K,i5,12th,Q1,2022.0,Intel 7,10,6.0,4.0,16,4.9,3.7,2.8,,20.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['K'],K
41,i5-12600KF,i5,12th,Q4,2021.0,Intel 7,10,6.0,4.0,16,4.9,3.7,2.8,,20.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,No,No,,,,,,,No,12.0,"['K', 'F']",KF
42,i3-12300,i3,12th,Q1,2022.0,Intel 7,4,4.0,0.0,8,4.4,3.5,,,12.0,60,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
43,i3-12100,i3,12th,Q1,2022.0,Intel 7,4,4.0,0.0,8,4.3,3.3,,,12.0,60,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.4,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
44,i3-12100F,i3,12th,Q1,2022.0,Intel 7,4,4.0,0.0,8,4.3,3.3,,,12.0,58,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,No,No,,,,,,,No,12.0,['F'],F
45,i5-12600T,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.6,2.1,,,18.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
46,i3-12300T,i3,12th,Q1,2022.0,Intel 7,4,4.0,0.0,8,4.2,2.3,,,12.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
47,i3-12100T,i3,12th,Q1,2022.0,Intel 7,4,4.0,0.0,8,4.1,2.2,,,12.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.4,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
48,i7-11700,i7,11th,Q1,2021.0,14,8,,,16,4.9,,,2.5,16.0,65,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,11.0,[],O
49,i9-11900T,i9,11th,Q1,2021.0,14,8,,,16,4.9,,,1.5,16.0,35,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['T'],T
50,i9-11900KF,i9,11th,Q1,2021.0,14,8,,,16,5.2,,,3.5,16.0,125,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,11.0,"['K', 'F']",KF
51,i9-11900K,i9,11th,Q1,2021.0,14,8,,,16,5.3,,,3.5,16.0,125,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['K'],K
52,i9-11900F,i9,11th,Q1,2021.0,14,8,,,16,5.2,,,2.5,16.0,65,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,11.0,['F'],F
53,i9-11900,i9,11th,Q1,2021.0,14,8,,,16,5.2,,,2.5,16.0,65,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,[],O
54,i7-11700T,i7,11th,Q1,2021.0,14,8,,,16,4.6,,,1.4,16.0,35,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['T'],T
55,i7-11700KF,i7,11th,Q1,2021.0,14,8,,,16,5.0,,,3.6,16.0,125,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,11.0,"['K', 'F']",KF
56,i7-11700K,i7,11th,Q1,2021.0,14,8,,,16,5.0,,,3.6,16.0,125,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['K'],K
57,i7-11700F,i7,11th,Q1,2021.0,14,8,,,16,4.9,,,2.5,16.0,65,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,11.0,['F'],F
58,i5-11600T,i5,11th,Q1,2021.0,14,6,,,12,4.1,,,1.7,12.0,35,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,No,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['T'],T
59,i5-11600KF,i5,11th,Q1,2021.0,14,6,,,12,4.9,,,3.9,12.0,125,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,11.0,"['K', 'F']",KF
60,i5-11600K,i5,11th,Q1,2021.0,14,6,,,12,4.9,,,3.9,12.0,125,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,No,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['K'],K
61,i5-11600,i5,11th,Q1,2021.0,14,6,,,12,4.8,,,2.8,12.0,65,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,No,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,[],O
62,i5-11500T,i5,11th,Q1,2021.0,14,6,,,12,3.9,,,1.5,12.0,35,128,DDR4-3200,20,LGA1200,UHD 750,1.2,Yes,Yes,No,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['T'],T
63,i5-11500,i5,11th,Q1,2021.0,14,6,,,12,4.6,,,2.7,12.0,65,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,No,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 , 60,No,11.0,[],O
64,i5-11400F,i5,11th,Q1,2021.0,14,6,,,12,4.4,,,2.6,12.0,65,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,11.0,['F'],F
65,i3-10325,i3,10th,Q1,2021.0,14,4,,,8,4.7,,,3.9,8.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
66,i3-10305T,i3,10th,Q1,2021.0,14,4,,,8,4.0,,,3.0,8.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
67,i3-10305,i3,10th,Q1,2021.0,14,4,,,8,4.5,,,3.8,8.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
68,i3-10105T,i3,10th,Q1,2021.0,14,4,,,8,3.9,,,3.0,6.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
69,i3-10105,i3,10th,Q1,2021.0,14,4,,,8,4.4,,,3.7,6.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
70,i3-10105F,i3,10th,Q1,2021.0,14,4,,,8,4.4,,,3.7,6.0,65,128,DDR4-2666,16,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,10.0,['F'],F
71,i3-10100F,i3,10th,Q4,2020.0,14,4,,,8,4.3,,,3.6,6.0,65,128,DDR4-2666,16,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,10.0,['F'],F
72,i9-10850K,i9,10th,Q3,2020.0,14,10,,,20,5.2,,,3.6,20.0,125,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['K'],K
73,i9-10900T,i9,10th,Q2,2020.0,14,10,,,20,4.6,,,1.9,20.0,35,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
74,i9-10900KF,i9,10th,Q2,2020.0,14,10,,,20,5.3,,,3.7,20.0,125,128,DDR4-2933,16,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,10.0,"['K', 'F']",KF
75,i9-10900K,i9,10th,Q2,2020.0,14,10,,,20,5.3,,,3.7,20.0,125,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['K'],K
76,i9-10900F,i9,10th,Q2,2020.0,14,10,,,20,5.2,,,2.8,20.0,65,128,DDR4-2933,16,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,10.0,['F'],F
77,i9-10900,i9,10th,Q2,2020.0,14,10,,,20,5.2,,,2.8,20.0,65,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
78,i7-10700T,i7,10th,Q2,2020.0,14,8,,,16,4.5,,,2.0,16.0,35,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,10.0,['T'],T
79,i7-10700KF,i7,10th,Q2,2020.0,14,8,,,16,5.1,,,3.8,16.0,125,128,DDR4-2933,16,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,10.0,"['K', 'F']",KF
80,i7-10700K,i7,10th,Q2,2020.0,14,8,,,16,5.1,,,3.8,16.0,125,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['K'],K
81,i7-10700F,i7,10th,Q2,2020.0,14,8,,,16,4.8,,,2.9,16.0,65,128,DDR4-2933,16,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,10.0,['F'],F
82,i7-10700,i7,10th,Q2,2020.0,14,8,,,16,4.8,,,2.9,16.0,65,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
