,processor_number,brand,nGeneration,Quarter Launch,Year launch,Lithography,nbr_cores,nbr_P-cores,nbr_E-cores,nbr_threads,max_turbo_frequency,performance-core_base_freq,efficient-core_base_freq,processor_base_freq,cache,processor_base_power,max_memory_size,memory_types,max_PCI,supported_socket,processor_graphics,graphics_max_dynamic_frequency,optane_memory_supported,turbo_boost_max_technology2,turbo_boost_max_technology3,vPro_platform_eligibity,max_resolution_hdmi,freq_hdmi(en Hz),max_resolution_dp,freq_dp(en Hz),max_resolution_edp,freq_edp,X-series,nGeneration2,series2,series
83,i5-10600T,i5,10th,Q2,2020.0,14,6,,,12,4.0,,,2.4,12.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
84,i5-10600KF,i5,10th,Q2,2020.0,14,6,,,12,4.8,,,4.1,12.0,125,128,DDR4-2666,16,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,10.0,"['K', 'F']",KF
85,i5-10600K,i5,10th,Q2,2020.0,14,6,,,12,4.8,,,4.1,12.0,125,128,DDR4-2666,16,LGA1200,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['K'],K
86,i5-10600,i5,10th,Q2,2020.0,14,6,,,12,4.8,,,3.3,12.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
87,i5-10500T,i5,10th,Q2,2020.0,14,6,,,12,3.8,,,2.3,12.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
88,i5-10500,i5,10th,Q2,2020.0,14,6,,,12,4.5,,,3.1,12.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
89,i5-10400T,i5,10th,Q2,2020.0,14,6,,,12,3.6,,,2.0,12.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
90,i5-10400F,i5,10th,Q2,2020.0,14,6,,,12,4.3,,,2.9,12.0,65,128,DDR4-2666,16,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,10.0,['F'],F
91,i5-10400,i5,10th,Q2,2020.0,14,6,,,12,4.3,,,2.9,12.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
92,i3-10320,i3,10th,Q2,2020.0,14,4,,,8,4.6,,,3.8,8.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
93,i3-10300T,i3,10th,Q2,2020.0,14,4,,,8,3.9,,,3.0,8.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
94,i3-10300,i3,10th,Q2,2020.0,14,4,,,8,4.4,,,3.7,8.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
95,i3-10100T,i3,10th,Q2,2020.0,14,4,,,8,3.8,,,3.0,6.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
96,i3-10100,i3,10th,Q2,2020.0,14,4,,,8,4.3,,,3.6,6.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
97,i9-9900KS,i9,9th,Q4,2019.0,14,8,,,16,5.0,,,4.0,16.0,127,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,"['K', 'S']",KS
98,i9-10980XE,i9,X-series,Q4,2019.0,14,18,,,36,4.8,,,3.0,24.75,165,256,DDR4-2933,48,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,10.0,['E'],E
99,i9-10940X,i9,X-series,Q4,2019.0,14,14,,,28,4.8,,,3.3,19.25,165,256,DDR4-2933,48,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,10.0,[],O
100,i9-10920X,i9,X-series,Q4,2019.0,14,12,,,24,4.8,,,3.5,19.25,165,256,DDR4-2933,48,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,10.0,[],O
101,i9-10900X,i9,X-series,Q4,2019.0,14,10,,,20,4.7,,,3.7,19.25,165,256,DDR4-2933,48,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,10.0,[],O
102,i9-9900T,i9,9th,Q2,2019.0,14,8,,,16,4.4,,,2.1,16.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
103,i9-9900,i9,9th,Q2,2019.0,14,8,,,16,5.0,,,3.1,16.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
104,i7-9700T,i7,9th,Q2,2019.0,14,8,,,8,4.3,,,2.0,12.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
105,i7-9700F,i7,9th,Q2,2019.0,14,8,,,8,4.7,,,3.0,12.0,65,128,DDR4-2666,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,['F'],F
106,i7-9700,i7,9th,Q2,2019.0,14,8,,,8,4.7,,,3.0,12.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
107,i5-9600T,i5,9th,Q2,2019.0,14,6,,,6,3.9,,,2.3,9.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
108,i5-9600,i5,9th,Q2,2019.0,14,6,,,6,4.6,,,3.1,9.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
109,i5-9500T,i5,9th,Q2,2019.0,14,6,,,6,3.7,,,2.2,9.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.1,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
110,i5-9500F,i5,9th,Q2,2019.0,14,6,,,6,4.4,,,3.0,9.0,65,128,DDR4-2666,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,['F'],F
111,i5-9500,i5,9th,Q2,2019.0,14,6,,,6,4.4,,,3.0,9.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.1,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
112,i5-9400T,i5,9th,Q2,2019.0,14,6,,,6,3.4,,,1.8,9.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.05,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
113,i3-9350K,i3,9th,Q2,2019.0,14,4,,,4,4.6,,,4.0,8.0,91,64,DDR4-2400,16,LGA1151,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['K'],K
114,i3-9320,i3,9th,Q2,2019.0,14,4,,,4,4.4,,,3.7,8.0,62,64,DDR4-2400,16,LGA1151,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
115,i3-9300T,i3,9th,Q2,2019.0,14,4,,,4,3.8,,,3.2,8.0,35,64,DDR4-2400,16,LGA1151,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
116,i3-9300,i3,9th,Q2,2019.0,14,4,,,4,4.3,,,3.7,8.0,62,64,DDR4-2400,16,LGA1151,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
117,i3-9100T,i3,9th,Q2,2019.0,14,4,,,4,3.7,,,3.1,6.0,35,64,DDR4-2400,16,LGA1151,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
118,i3-9100F,i3,9th,Q2,2019.0,14,4,,,4,4.2,,,3.6,6.0,65,64,DDR4-2400,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,['F'],F
119,i3-9100,i3,9th,Q2,2019.0,14,4,,,4,4.2,,,3.6,6.0,65,64,DDR4-2400,16,LGA1151,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
120,i9-9900KF,i9,9th,Q1,2019.0,14,8,,,16,5.0,,,3.6,16.0,95,128,DDR4-2666,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,"['K', 'F']",KF
121,i7-9700KF,i7,9th,Q1,2019.0,14,8,,,8,4.9,,,3.6,12.0,95,128,DDR4-2666,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,"['K', 'F']",KF
122,i5-9600KF,i5,9th,Q1,2019.0,14,6,,,6,4.6,,,3.7,9.0,95,128,DDR4-2666,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,"['K', 'F']",KF
123,i5-9400F,i5,9th,Q1,2019.0,14,6,,,6,4.1,,,2.9,9.0,65,128,DDR4-2666,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,['F'],F
124,i5-9400,i5,9th,Q1,2019.0,14,6,,,6,4.1,,,2.9,9.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
125,i3-9350KF,i3,9th,Q1,2019.0,14,4,,,4,4.6,,,4.0,8.0,91,64,DDR4-2400,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,"['K', 'F']",KF
126,i9-9980XE,i9,X-series,Q4,2018.0,14,18,,,36,4.5,,,3.0,24.75,165,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,9.0,['E'],E
127,i9-9960X,i9,X-series,Q4,2018.0,14,16,,,32,4.5,,,3.1,22.0,165,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,9.0,[],O
128,i9-9940X,i9,X-series,Q4,2018.0,14,14,,,28,4.5,,,3.3,19.25,165,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,9.0,[],O
129,i9-9920X,i9,X-series,Q4,2018.0,14,12,,,24,4.5,,,3.5,19.25,165,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,9.0,[],O
130,i9-9900X,i9,X-series,Q4,2018.0,14,10,,,20,4.5,,,3.5,19.25,165,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,9.0,[],O
131,i9-9900K,i9,9th,Q4,2018.0,14,8,,,16,5.0,,,3.6,16.0,95,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['K'],K
132,i9-9820X,i9,X-series,Q4,2018.0,14,10,,,20,4.2,,,3.3,16.5,165,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,9.0,[],O
133,i7-9800X,i7,X-series,Q4,2018.0,14,8,,,16,4.5,,,3.8,16.5,165,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,9.0,[],O
134,i7-9700K,i7,9th,Q4,2018.0,14,8,,,8,4.9,,,3.6,12.0,95,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['K'],K
135,i5-9600k,i5,9th,Q4,2018.0,14,6,,,6,4.6,,,3.7,9.0,95,128,DDR4-2666,16,LGA1151,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],K
136,i7-8700T,i7,8th,Q2,2018.0,14,6,,,12,4.0,,,2.4,12.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,['T'],T
137,i7-8700,i7,8th,Q2,2018.0,14,6,,,12,4.6,,,3.2,12.0,65,64,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,,[],O
138,i7-8086K,i7,8th,Q2,2018.0,14,6,,,12,5.0,,,4.0,12.0,95,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,['K'],K
139,i5-8600T,i5,8th,Q2,2018.0,14,6,,,6,3.7,,,2.3,9.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,['T'],T
140,i5-8600,i5,8th,Q2,2018.0,14,6,,,6,4.3,,,3.1,9.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,[],O
141,i5-8500T,i5,8th,Q2,2018.0,14,6,,,6,3.5,,,2.1,9.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.1,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,['T'],T
142,i5-8500,i5,8th,Q2,2018.0,14,6,,,6,4.1,,,3.0,9.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.1,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,[],O
143,i5-8400T,i5,8th,Q2,2018.0,14,6,,,6,3.3,,,1.7,9.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.05,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,['T'],T
144,i5-8400,i5,8th,Q2,2018.0,14,6,,,6,4.0,,,2.8,9.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.05,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,[],O
145,i3-8300T,i3,8th,Q2,2018.0,14,4,,,4,,,,3.2,8.0,35,64,DDR4-2400,16,LGA1151,UHD 630,1.1,Yes,No,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,['T'],T
146,i3-8300,i3,8th,Q2,2018.0,14,4,,,4,,,,3.7,8.0,62,64,DDR4-2400,16,LGA1151,UHD 630,1.15,Yes,No,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,[],O
147,i3-8100T,i3,8th,Q2,2018.0,14,4,,,4,,,,3.1,6.0,35,64,DDR4-2400,16,LGA1151,UHD 630,1.1,Yes,No,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,['T'],T
148,i7-8700K,i7,8th,Q4,2017.0,14,6,,,12,4.7,,,3.7,12.0,95,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,['K'],K
149,i7-8700,i7,8th,Q4,2017.0,14,6,,,12,4.6,,,3.2,12.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,[],O
150,i5-8600K,i5,8th,Q4,2017.0,14,6,,,6,4.3,,,3.6,9.0,95,128,DDR4-2666,16,LGA1151,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,['K'],K
151,i5-8400,i5,8th,Q4,2017.0,14,6,,,6,4.0,,,2.8,9.0,65,64,DDR4-2666,16,LGA1151,UHD 630,1.05,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,,[],O
152,i3-8350K,i3,8th,Q4,2017.0,14,4,,,4,,,,4.0,8.0,91,64,DDR4-2400,16,LGA1151,UHD 630,1.15,Yes,No,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,['K'],K
153,i3-8100,i3,8th,Q4,2017.0,14,4,,,4,,,,3.6,6.0,65,64,DDR4-2400,16,LGA1151,UHD 630,1.1,Yes,No,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,8.0,[],O
154,i9-7980XE,i9,X-series,Q3,2017.0,14,18,,,36,4.2,,,2.6,24.75,165,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,7.0,['E'],E
155,i9-7960X,i9,X-series,Q3,2017.0,14,16,,,32,4.2,,,2.8,22.0,165,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,7.0,[],O
156,i9-7940X,i9,X-series,Q3,2017.0,14,14,,,28,4.3,,,3.1,19.25,165,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,7.0,[],O
157,i9-7920X,i9,X-series,Q3,2017.0,14,12,,,24,4.3,,,2.9,16.5,140,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,7.0,[],O
158,i9-7900X,i9,X-series,Q2,2017.0,14,10,,,20,4.3,,,3.3,13.75,140,128,DDR4-2666,44,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,7.0,[],O
159,i7-7820X,i7,X-series,Q2,2017.0,14,8,,,16,4.5,,,3.6,11.0,140,128,DDR4-2666,28,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,7.0,[],O
160,i7-7800X,i7,X-series,Q2,2017.0,14,6,,,12,4.0,,,3.5,8.25,140,128,DDR4-2400,28,LGA2066,No ,,Yes,Yes,No,No,,,,,,,Yes,7.0,[],O
161,i7-7740X,i7,X-series,Q2,2017.0,14,4,,,8,4.5,,,4.3,8.0,112,64,DDR4-2666,16,LGA2066,No ,,Yes,Yes,No,No,,,,,,,Yes,7.0,[],O
162,i5-7640X,i5,X-series,Q2,2017.0,14,4,,,4,4.2,,,4.0,6.0,112,64,DDR4-2666,16,LGA2066,No ,,Yes,Yes,No,No,,,,,,,Yes,7.0,[],O
163,i7-7700T,i7,7th,Q1,2017.0,14,4,,,8,3.8,,,2.9,8.0,35,64,"DDR4-2133/2400,
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,['T'],T
164,i7-7700K,i7,7th,Q1,2017.0,14,4,,,8,4.5,,,4.2,8.0,91,64,"DDR4-2133/2400, 
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.15,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,['K'],K
165,i7-7700,i7,7th,Q1,2017.0,14,4,,,8,4.2,,,3.6,8.0,65,64,"DDR4-2133/2400, 
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,[],O
166,i5-7600T,i5,7th,Q1,2017.0,14,4,,,4,3.7,,,2.8,6.0,35,64,"DDR4-2133/2400, 
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.1,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,['T'],T
167,i5-7600K,i5,7th,Q1,2017.0,14,4,,,4,4.2,,,3.8,6.0,91,64,"DDR4-2133/2400, 
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.15,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,['K'],K
168,i5-7600,i5,7th,Q1,2017.0,14,4,,,4,4.1,,,3.5,6.0,65,64,"DDR4-2133/2400,
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,[],O
169,i5-7500T,i5,7th,Q1,2017.0,14,4,,,4,3.3,,,2.7,6.0,35,64,"DDR4-2133/2400, 
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,['T'],T
170,i5-7500,i5,7th,Q1,2017.0,14,4,,,4,3.8,,,3.4,6.0,65,64,"DDR4-2133/2400, 
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.1,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,[],O
171,i5-7400T,i5,7th,Q1,2017.0,14,4,,,4,3.0,,,2.4,6.0,35,64,"DDR4-2133/2400, 
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.0,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,['T'],T
172,i5-7400,i5,7th,Q1,2017.0,14,4,,,4,3.5,,,3.0,6.0,65,64,"DDR4-2133/2400, 
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.0,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,[],O
173,i3-7350K,i3,7th,Q1,2017.0,14,2,,,4,,,,4.2,4.0,60,64,"DDR4-2133/2400, 
DDR3L-1333/1600",16,LGA1151,HD 630,1.15,Yes,No,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,['K'],K
174,i3-7320,i3,7th,Q1,2017.0,14,2,,,4,,,,4.1,4.0,51,64,"DDR4-2133/2400, 
DDR3L-1333/1600",16,LGA1151,HD 630,1.15,Yes,No,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,[],O
175,i3-7300T,i3,7th,Q1,2017.0,14,2,,,4,,,,3.5,4.0,35,64,"DDR4-2133/2400, 
DDR3L-1333/1600",16,LGA1151,HD 630,1.1,Yes,No,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,['T'],T
176,i3-7300,i3,7th,Q1,2017.0,14,2,,,4,,,,4.0,4.0,51,64,"DDR4-2133/2400, 
DDR3L-1333/1600",16,LGA1151,HD 630,1.15,Yes,No,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,[],O
177,i3-7101TE,i3,7th,Q1,2017.0,14,2,,,4,,,,3.4,3.0,35,64,"DDR3L-1600,
 DDR4-2400",16,LGA1151,HD 630,1.1,Yes,No,No,No, 4096 x 2304 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,"['T', 'E']",TE
178,i3-7101E,i3,7th,Q1,2017.0,14,2,,,4,,,,3.9,3.0,54,64,"DDR3L-1600, 
DDR4-2400",16,LGA1151,HD 630,1.1,Yes,No,No,No, 4096 x 2304 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,['E'],E
179,i3-7100T,i3,7th,Q1,2017.0,14,2,,,4,,,,3.4,3.0,35,64,"DDR4-2133/2400, 
DDR3L-1333/1600 ",16,LGA1151,HD 630,1.1,Yes,No,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,7.0,['T'],T
